line_state_id,line,start_time,end_time,process_order
70C56F5E-88C7-430B-8416-8C82B92F2D14/0,L1C,2022-06-19 00:03:03,2022-06-19 00:03:14,916939569
C6CA07B5-5E68-402B-8C31-E63D849FBEC0/0,L1B,2022-06-19 00:03:03,2022-06-19 00:03:14,916939569
F1A87A98-B99B-40A1-BAD9-65B2E92A851E/0,L1A,2022-06-19 00:03:03,2022-06-19 00:03:13,916939548
F1A87A98-B99B-40A1-BAD9-65B2E92A851E/1,L1A,2022-06-19 00:03:13,2022-06-19 00:03:14,916939548
05E79205-878F-4FA5-97C8-5CD083715E1D/0,L1A,2022-06-19 00:03:14,2022-06-19 00:05:23,916939548
5478B98A-DC6E-4E26-A3B0-03BA795EC66A/0,L1B,2022-06-19 00:03:14,2022-06-19 00:05:24,916939569
E37D0E72-B078-4E82-936F-C55414A3898E/0,L1C,2022-06-19 00:03:14,2022-06-19 00:05:24,916939569
05E79205-878F-4FA5-97C8-5CD083715E1D/1,L1A,2022-06-19 00:05:23,2022-06-19 00:05:24,916939548
3D9C05E9-4605-4F31-A2C1-C6DDF8457369/0,L1C,2022-06-19 00:05:24,2022-06-19 00:07:54,916939569
65E283A1-17E1-4C12-A779-CDC1A3470632/0,L1A,2022-06-19 00:05:24,2022-06-19 00:07:54,916939548
CB66650D-6F15-438B-AA28-51EA7C9AB812/0,L1B,2022-06-19 00:05:24,2022-06-19 00:07:54,916939569
CF886AD5-B027-42F6-9DB2-8D0F616A1E18/7,L2A,2022-06-19 00:07:38,2022-06-19 00:08:54,916939573
178CAD12-06C6-4CC9-925A-2801D9ABA9D4/0,L1B,2022-06-19 00:07:54,2022-06-19 00:10:23,916939569
9841B647-F367-4F55-897C-BB894BD0AD37/0,L1A,2022-06-19 00:07:54,2022-06-19 00:20:21,916939548
D840BDFA-42F3-47DE-886F-38CDC3894C06/0,L1C,2022-06-19 00:07:54,2022-06-19 00:20:21,916939569
CF886AD5-B027-42F6-9DB2-8D0F616A1E18/8,L2A,2022-06-19 00:08:54,2022-06-19 00:20:48,916939573
178CAD12-06C6-4CC9-925A-2801D9ABA9D4/1,L1B,2022-06-19 00:10:23,2022-06-19 00:12:09,916939569
178CAD12-06C6-4CC9-925A-2801D9ABA9D4/2,L1B,2022-06-19 00:12:09,2022-06-19 00:12:33,916939569
178CAD12-06C6-4CC9-925A-2801D9ABA9D4/3,L1B,2022-06-19 00:12:33,2022-06-19 00:12:36,916939569
178CAD12-06C6-4CC9-925A-2801D9ABA9D4/4,L1B,2022-06-19 00:12:36,2022-06-19 00:20:21,916939569
64BEF48C-BEAD-417E-8A18-839B42E245AB/7,L2B,2022-06-19 00:19:24,2022-06-19 01:01:17,916939573
5AC342A3-E9DD-417A-89EB-15F40E847B12/0,L1A,2022-06-19 00:20:21,2022-06-19 00:23:08,916939548
608DC4D6-764E-444B-8774-638F1984B92F/0,L1C,2022-06-19 00:20:21,2022-06-19 00:26:25,916939569
C1F79A34-B5FE-4DAF-8569-E73C6C762FB9/0,L1B,2022-06-19 00:20:21,2022-06-19 00:28:06,916939569
CF886AD5-B027-42F6-9DB2-8D0F616A1E18/9,L2A,2022-06-19 00:20:48,2022-06-19 00:48:06,916939573
5AC342A3-E9DD-417A-89EB-15F40E847B12/1,L1A,2022-06-19 00:23:08,2022-06-19 00:38:09,916939548
608DC4D6-764E-444B-8774-638F1984B92F/1,L1C,2022-06-19 00:26:25,2022-06-19 00:27:14,916939569
608DC4D6-764E-444B-8774-638F1984B92F/2,L1C,2022-06-19 00:27:14,2022-06-19 00:28:21,916939569
C1F79A34-B5FE-4DAF-8569-E73C6C762FB9/1,L1B,2022-06-19 00:28:06,2022-06-19 00:28:15,916939569
C1F79A34-B5FE-4DAF-8569-E73C6C762FB9/2,L1B,2022-06-19 00:28:15,2022-06-19 00:31:10,916939569
608DC4D6-764E-444B-8774-638F1984B92F/3,L1C,2022-06-19 00:28:21,2022-06-19 00:28:27,916939569
608DC4D6-764E-444B-8774-638F1984B92F/4,L1C,2022-06-19 00:28:27,2022-06-19 00:54:19,916939569
C1F79A34-B5FE-4DAF-8569-E73C6C762FB9/3,L1B,2022-06-19 00:31:10,2022-06-19 00:33:04,916939569
C1F79A34-B5FE-4DAF-8569-E73C6C762FB9/4,L1B,2022-06-19 00:33:04,2022-06-19 00:45:18,916939569
5AC342A3-E9DD-417A-89EB-15F40E847B12/2,L1A,2022-06-19 00:38:09,2022-06-19 00:39:21,916939548
5AC342A3-E9DD-417A-89EB-15F40E847B12/3,L1A,2022-06-19 00:39:21,2022-06-19 00:45:04,916939548
5AC342A3-E9DD-417A-89EB-15F40E847B12/4,L1A,2022-06-19 00:45:04,2022-06-19 00:46:53,916939548
C1F79A34-B5FE-4DAF-8569-E73C6C762FB9/5,L1B,2022-06-19 00:45:18,2022-06-19 00:45:24,916939569
